OBJECTID_1,ZCTA5CE10,FIRST_STAT,FIRST_GEOI,FIRST_CLAS,FIRST_MTFC,FIRST_FUNC,ZCTA5N,STATE,AREALAND,AREAWATR,POP100,HU100,NHW,NHB,NHAI,NHA,NHNH,NHO,NHT,HISP,PNHW,PNHB,PNHAI,PNHA,PNHNH,PNHO,PNHT,PHISP,POP65_,PCTPOP65_,MEDAGE,VACNS,PVACNS,PHOWN,PWOMORT,PRENT,PLT18SP,REPORT_2_P,REPORT_9_P,Shape_Length,Shape_Area
1,20601,24,2420601,B5,G6350,S,20601,24,115635266,387684,24156,8722,9785,11146,155,880,11,48,849,1282,40.5,46.1,0.6,3.6,0,0.2,3.5,5.3,1922,8,37.3,376,4.3,71.1,11.2,19.9,30.4,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/20601.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/20601.pdf,89500.3033527083,190317501.493138
2,20602,24,2420602,B5,G6350,S,20602,24,35830723,352762,24955,9736,8466,13054,116,731,15,58,999,1516,33.9,52.3,0.5,2.9,0.1,0.2,4,6.1,1964,7.9,32.6,769,7.9,59.7,9,34.4,43.6,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/20602.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/20602.pdf,42220.2143765428,59304576.1739214
3,20603,24,2420603,B5,G6350,S,20603,24,44239637,219356,28967,10317,9625,15025,98,1446,24,65,1091,1593,33.2,51.9,0.3,5,0.1,0.2,3.8,5.5,1400,4.8,34.5,531,5.1,73.8,4.7,22.6,29.9,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/20603.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/20603.pdf,50682.9626000165,72959665.1756024
4,20606,24,2420606,B5,G6350,S,20606,24,7501011,1248760,431,230,377,45,1,4,0,0,0,4,87.5,10.4,0.2,0.9,0,0,0,0.9,108,25.1,49.1,15,6.5,49.7,39.3,18.1,31.2,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/20606.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/20606.pdf,41458.2638451601,12211169.5585686
5,20607,24,2420607,B5,G6350,S,20607,24,54357590,448221,9802,3504,2165,6321,33,560,3,6,234,480,22.1,64.5,0.3,5.7,0,0.1,2.4,4.9,847,8.6,40.9,172,4.9,83.1,10.3,7.4,22.1,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/20607.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/20607.pdf,58903.0587348953,89628803.3302229
6,20608,24,2420608,B5,G6350,S,20608,24,45583064,5330329,919,426,438,453,5,2,0,0,9,12,47.7,49.3,0.5,0.2,0,0,1,1.3,173,18.8,46.6,39,9.2,60.4,28.2,15.9,14.1,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/20608.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/20608.pdf,57818.5043899828,75004038.8527681
7,20609,24,2420609,B5,G6350,S,20609,24,25723294,6602735,1120,554,1009,82,2,1,1,0,15,10,90.1,7.3,0.2,0.1,0.1,0,1.3,0.9,271,24.2,47.6,32,5.8,44.8,38.7,27,28.9,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/20609.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/20609.pdf,65971.7957073201,44033557.1469648
8,20611,24,2420611,B5,G6350,S,20611,24,18243786,33481,1078,413,798,215,5,10,0,0,33,17,74,19.9,0.5,0.9,0,0,3.1,1.6,129,12,44.3,22,5.3,63.8,21.8,18.3,24.5,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/20611.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/20611.pdf,30676.9548732416,29854741.2600018
9,20612,24,2420612,B5,G6350,S,20612,24,604744,1337569,261,142,245,12,0,0,0,0,1,3,93.9,4.6,0,0,0,0,0.4,1.1,54,20.7,47.3,14,9.9,38.3,43.9,31.7,43.9,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/20612.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/20612.pdf,5781.31954070873,989192.719417665
10,20613,24,2420613,B5,G6350,S,20613,24,195821362,3726835,11860,4424,4044,6786,106,186,4,8,321,405,34.1,57.2,0.9,1.6,0,0.1,2.7,3.4,1372,11.6,40.8,249,5.6,73.9,17.4,10.5,26.7,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/20613.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/20613.pdf,123025.194410692,323305717.546388
11,20615,24,2420615,B5,G6350,S,20615,24,1883242,220896,405,204,352,32,2,3,1,0,13,2,86.9,7.9,0.5,0.7,0.2,0,3.2,0.5,73,18,42.4,18,8.8,60.9,25.2,18.6,25.9,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/20615.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/20615.pdf,13797.0272194041,3086042.87224736
12,20616,24,2420616,B5,G6350,S,20616,24,25397165,3717651,5857,2203,1891,3309,32,165,2,1,213,244,32.3,56.5,0.5,2.8,0,0,3.6,4.2,553,9.4,36.3,158,7.2,70.1,17.4,15.1,35.7,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/20616.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/20616.pdf,37893.8421659234,41780569.3506391
13,20617,24,2420617,B5,G6350,S,20617,24,16949455,17679,781,301,587,163,3,5,0,0,14,9,75.2,20.9,0.4,0.6,0,0,1.8,1.2,174,22.3,47.8,8,2.7,63.9,31.4,6.9,22.2,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/20617.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/20617.pdf,29308.7065048739,27776307.5289286
14,20618,24,2420618,B5,G6350,S,20618,24,14439547,2492573,607,280,523,65,4,1,0,3,4,7,86.2,10.7,0.7,0.2,0,0.5,0.7,1.2,138,22.7,45.2,18,6.4,52.6,35.3,18.6,26.5,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/20618.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/20618.pdf,47420.4890522012,23481820.215181
15,20619,24,2420619,B5,G6350,S,20619,24,40517011,3714765,10503,4366,8071,1111,38,402,4,5,325,547,76.8,10.6,0.4,3.8,0,0,3.1,5.2,808,7.7,34,260,6,55.8,14.7,34.5,24.8,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/20619.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/20619.pdf,82899.8351351332,66551474.6166985
16,20620,24,2420620,B5,G6350,S,20620,24,10023159,240541,1443,557,1057,230,8,47,1,8,55,37,73.3,15.9,0.6,3.3,0.1,0.6,3.8,2.6,129,8.9,36.8,34,6.1,61.1,19.2,24.3,32.7,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/20620.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/20620.pdf,26950.9502822498,16361023.8831648
17,20621,24,2420621,B5,G6350,S,20621,24,35945451,4052045,1373,777,912,413,11,1,0,0,26,10,66.4,30.1,0.8,0.1,0,0,1.9,0.7,217,15.8,41.8,68,8.8,58,31.3,15.6,29.3,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/20621.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/20621.pdf,76302.8619796822,58617546.8735058
18,20622,24,2420622,B5,G6350,S,20622,24,96821277,1645404,4900,1485,3998,695,9,29,3,5,73,88,81.6,14.2,0.2,0.6,0.1,0.1,1.5,1.8,894,18.2,43.2,53,3.6,68.8,21.1,12.8,15.6,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/20622.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/20622.pdf,129183.932331489,159031695.517977
19,20623,24,2420623,B5,G6350,S,20623,24,4987134,19273,2744,892,370,2187,15,38,1,10,65,58,13.5,79.7,0.5,1.4,0,0.4,2.4,2.1,165,6,39.4,39,4.4,89,6.4,4.9,25.6,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/20623.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/20623.pdf,14881.333244591,8241591.71321213
20,20624,24,2420624,B5,G6350,S,20624,24,32369763,1238952,1282,487,1145,118,3,1,0,0,9,6,89.3,9.2,0.2,0.1,0,0,0.7,0.5,128,10,39.1,15,3.1,56.4,30.9,18.4,22.6,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/20624.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/20624.pdf,50766.4479837594,52797926.8282256
21,20625,24,2420625,B5,G6350,S,20625,24,1244964,289553,1062,609,971,33,2,6,0,0,32,18,91.4,3.1,0.2,0.6,0,0,3,1.7,182,17.1,43.3,42,6.9,63.4,23.5,17.1,31,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/20625.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/20625.pdf,8842.27056771841,2022487.29080675
22,20626,24,2420626,B5,G6350,S,20626,24,3135030,3998116,373,230,337,21,0,0,3,1,4,7,90.3,5.6,0,0,0.8,0.3,1.1,1.9,90,24.1,46.1,16,7,46.6,42.3,19.3,37.7,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/20626.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/20626.pdf,19509.3197808466,5124119.19696943
23,20628,24,2420628,B5,G6350,S,20628,24,17224678,14584224,594,271,520,40,0,4,0,1,9,20,87.5,6.7,0,0.7,0,0.2,1.5,3.4,81,13.6,42.5,17,6.3,57.9,25.8,21.9,23.9,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/20628.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/20628.pdf,56362.9278827489,28024286.7601844
24,20629,24,2420629,B5,G6350,S,20629,24,1116993,448503,535,341,465,38,1,13,0,0,5,13,86.9,7.1,0.2,2.4,0,0,0.9,2.4,99,18.5,47.9,24,7,54.1,24.9,28,26.7,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/20629.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/20629.pdf,12796.5986617092,2230416.08684995
25,20630,24,2420630,B5,G6350,S,20630,24,14747899,6565539,348,174,287,52,0,4,0,0,3,2,82.5,14.9,0,1.1,0,0,0.9,0.6,60,17.2,47.9,15,8.6,49.3,37.3,21.4,23.7,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/20630.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/20630.pdf,61144.2234729376,24003963.612134
26,20632,24,2420632,B5,G6350,S,20632,24,19035978,424172,347,131,289,34,4,4,0,3,6,7,83.3,9.8,1.2,1.2,0,0.9,1.7,2,36,10.4,42.4,6,4.6,56,34,15.2,29.5,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/20632.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/20632.pdf,50467.3444743814,31090064.4627323
27,20634,24,2420634,B5,G6350,S,20634,24,17757492,901110,5927,2375,3727,1334,11,270,3,5,213,364,62.9,22.5,0.2,4.6,0.1,0.1,3.6,6.1,376,6.3,33.4,151,6.4,60.4,10.9,32.2,31.2,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/20634.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/20634.pdf,57118.2801287637,29026606.4138828
28,20636,24,2420636,B5,G6350,S,20636,24,95184610,21321636,9937,3796,8680,660,23,158,0,4,198,214,87.4,6.6,0.2,1.6,0,0,2,2.2,1177,11.8,40.3,172,4.5,65.8,21.3,16.4,19.9,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/20636.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/20636.pdf,129218.755726545,155608828.554064
29,20637,24,2420637,B5,G6350,S,20637,24,80158456,3428515,5423,1882,4050,972,26,95,3,17,136,124,74.7,17.9,0.5,1.8,0.1,0.3,2.5,2.3,592,10.9,42.5,75,4,75.8,16.9,8.7,18.1,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/20637.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/20637.pdf,93050.5659720215,131636669.191229
30,20639,24,2420639,B5,G6350,S,20639,24,108425050,4964875,14227,4832,11619,1595,38,284,5,19,319,348,81.7,11.2,0.3,2,0,0.1,2.2,2.4,1463,10.3,41.8,140,2.9,77.1,16.6,7.5,16.4,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/20639.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/20639.pdf,100348.413042189,178369694.217769
31,20640,24,2420640,B5,G6350,S,20640,24,107965919,18435586,10438,4089,4832,4575,106,262,5,10,342,306,46.3,43.8,1,2.5,0,0.1,3.3,2.9,1055,10.1,35.1,393,9.6,61.1,21.1,22.6,36.6,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/20640.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/20640.pdf,161962.350269859,176983502.134135
32,20645,24,2420645,B5,G6350,S,20645,24,5686073,4075598,857,386,758,65,2,6,0,0,15,11,88.4,7.6,0.2,0.7,0,0,1.8,1.3,179,20.9,46.4,23,6,75.4,18.7,7.3,20.7,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/20645.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/20645.pdf,25507.7262046311,9316854.77016667
33,20646,24,2420646,B5,G6350,S,20646,24,213580764,1853415,18890,7015,13666,3766,95,385,14,14,411,539,72.3,19.9,0.5,2,0.1,0.1,2.2,2.9,2674,14.2,42.2,328,4.7,65.9,19.5,18.2,26.1,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/20646.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/20646.pdf,230383.249072968,351475139.923414
34,20650,24,2420650,B5,G6350,S,20650,24,155914556,32039358,13717,5412,11542,1120,40,350,2,15,279,369,84.1,8.2,0.3,2.6,0,0.1,2,2.7,1840,13.4,41.1,315,5.8,57.6,23.6,24.6,20.3,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/20650.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/20650.pdf,219486.006161295,255850874.323394
35,20653,24,2420653,B5,G6350,S,20653,24,84244771,9242954,24481,10066,13997,6635,97,1012,25,57,1035,1623,57.2,27.1,0.4,4.1,0.1,0.2,4.2,6.6,1643,6.7,30.6,766,7.6,43.4,19.5,46.1,42.4,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/20653.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/20653.pdf,134271.869835222,138073247.836691
36,20657,24,2420657,B5,G6350,S,20657,24,77903257,22483528,20483,7765,15443,3332,75,234,20,24,592,763,75.4,16.3,0.4,1.1,0.1,0.1,2.9,3.7,1752,8.6,35.1,374,4.8,74.2,12.3,15.4,27.3,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/20657.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/20657.pdf,120483.93564168,129856380.947985
37,20658,24,2420658,B5,G6350,S,20658,24,7793913,14245,854,377,525,270,12,3,0,1,15,28,61.5,31.6,1.4,0.4,0,0.1,1.8,3.3,133,15.6,45.1,34,9,58.5,29.5,17,35.5,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/20658.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/20658.pdf,21698.8054582504,12790297.6248088
38,20659,24,2420659,B5,G6350,S,20659,24,242995087,29122140,23498,8150,20575,1812,80,160,10,16,442,403,87.6,7.7,0.3,0.7,0,0.1,1.9,1.7,2254,9.6,37.4,321,3.9,71.9,17.2,13.2,19.3,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/20659.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/20659.pdf,175145.123099454,397895242.303619
39,20660,24,2420660,B5,G6350,S,20660,24,2358430,0,97,32,89,7,1,0,0,0,0,0,91.8,7.2,1,0,0,0,0,0,8,8.2,30.9,2,6.3,53.3,33.3,20,23.3,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/20660.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/20660.pdf,8853.70292658769,3842795.22359975
40,20662,24,2420662,B5,G6350,S,20662,24,147909322,25017475,2934,1229,1805,994,29,8,1,4,59,34,61.5,33.9,1,0.3,0,0.1,2,1.2,374,12.7,41.9,125,10.2,55.9,30.4,19.6,31.7,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/20662.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/20662.pdf,137198.205230614,241845693.900966
41,20664,24,2420664,B5,G6350,S,20664,24,106512338,14123605,2987,1384,2220,587,29,18,0,5,67,61,74.3,19.7,1,0.6,0,0.2,2.2,2,447,15,42.9,141,10.2,57.7,26,22,26,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/20664.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/20664.pdf,148481.749292869,173687997.753071
42,20667,24,2420667,B5,G6350,S,20667,24,5225924,951067,494,222,303,163,2,5,0,0,11,10,61.3,33,0.4,1,0,0,2.2,2,63,12.8,40.1,19,8.6,43.9,36.3,31.1,41.9,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/20667.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/20667.pdf,21372.3449035719,8483463.44047676
43,20670,24,2420670,B5,G6350,S,20670,24,24425828,14642218,1014,225,647,169,2,20,5,0,49,122,63.8,16.7,0.2,2,0.5,0,4.8,12,2,0.2,22,12,5.3,0.5,0,99.5,9,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/20670.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/20670.pdf,53627.3412736404,41096981.3151835
44,20674,24,2420674,B5,G6350,S,20674,24,5149701,10400008,830,511,669,77,3,26,2,0,28,25,80.6,9.3,0.4,3.1,0.2,0,3.4,3,159,19.2,47.9,32,6.3,53.7,27.4,25.9,42.9,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/20674.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/20674.pdf,51481.1933693183,8760661.80703859
45,20675,24,2420675,B5,G6350,S,20675,24,15647644,0,1671,613,1033,458,54,33,1,1,35,56,61.8,27.4,3.2,2,0.1,0.1,2.1,3.4,278,16.6,45.1,20,3.3,72,22,7.8,19.1,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/20675.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/20675.pdf,30703.9876460265,25644293.8994481
46,20676,24,2420676,B5,G6350,S,20676,24,42872913,2991716,3871,1545,3150,516,13,42,0,3,59,88,81.4,13.3,0.3,1.1,0,0.1,1.5,2.3,460,11.9,42.2,57,3.7,73.7,19.1,8.9,19.3,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/20676.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/20676.pdf,70052.1867467258,70146884.8647313
47,20677,24,2420677,B5,G6350,S,20677,24,39910132,5019649,2322,878,1747,438,27,38,2,1,28,41,75.2,18.9,1.2,1.6,0.1,0,1.2,1.8,323,13.9,44,52,5.9,73.9,18.5,9.3,21.4,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/20677.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/20677.pdf,80791.3148963419,65305397.5106779
48,20678,24,2420678,B5,G6350,S,20678,24,110719859,21008404,11045,4121,7888,2407,29,158,0,13,291,259,71.4,21.8,0.3,1.4,0,0.1,2.6,2.3,1351,12.2,39.8,229,5.6,59.2,18.9,27,33.6,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/20678.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/20678.pdf,103991.698589244,182044323.786635
49,20680,24,2420680,B5,G6350,S,20680,24,15940938,4787193,1119,585,938,123,5,9,2,0,21,21,83.8,11,0.4,0.8,0.2,0,1.9,1.9,203,18.1,45.2,48,8.2,42.1,41.8,27.6,36.4,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/20680.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/20680.pdf,78588.7804664414,25847239.2380759
50,20684,24,2420684,B5,G6350,S,20684,24,23553634,3757413,1125,503,921,141,0,5,1,1,21,35,81.9,12.5,0,0.4,0.1,0.1,1.9,3.1,175,15.6,45,30,6,53.7,30.1,23.1,30.6,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/20684.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/20684.pdf,70672.6792620101,38275227.0842267
51,20685,24,2420685,B5,G6350,S,20685,24,57649594,23161836,6471,2499,5431,680,15,34,0,3,113,195,83.9,10.5,0.2,0.5,0,0,1.7,3,630,9.7,40.4,113,4.5,75.9,14.4,11.3,19.2,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/20685.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/20685.pdf,97379.6260808578,94499507.3591708
52,20686,24,2420686,B5,G6350,S,20686,24,2818991,130001,1332,38,1077,93,1,44,0,1,50,66,80.9,7,0.1,3.3,0,0.1,3.8,5,22,1.7,20.2,5,13.2,14.3,75,42.9,16.7,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/20686.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/20686.pdf,18183.1356875012,4780029.69602655
53,20687,24,2420687,B5,G6350,S,20687,24,15402392,20928213,313,244,271,21,0,5,0,1,11,4,86.6,6.7,0,1.6,0,0.3,3.5,1.3,59,18.8,49,20,8.2,45.4,36.1,28.9,37,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/20687.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/20687.pdf,80075.3256558896,25015711.477999
54,20688,24,2420688,B5,G6350,S,20688,24,3708374,5807342,1828,1188,1621,127,1,25,0,2,30,22,88.7,6.9,0.1,1.4,0,0.1,1.6,1.2,853,46.7,62.4,104,8.8,30.9,40.8,47.7,30.4,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/20688.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/20688.pdf,27879.108260277,6408515.75568554
55,20689,24,2420689,B5,G6350,S,20689,24,20155032,61647,1694,579,1147,435,3,10,2,3,28,66,67.7,25.7,0.2,0.6,0.1,0.2,1.7,3.9,204,12,43.3,21,3.6,72.6,19.5,9.9,15.5,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/20689.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/20689.pdf,39428.1332555598,33207446.8133346
56,20690,24,2420690,B5,G6350,S,20690,24,4685435,1530708,740,369,659,20,1,21,1,0,12,26,89.1,2.7,0.1,2.8,0.1,0,1.6,3.5,123,16.6,46.5,20,5.4,63.6,19.9,20.5,14.4,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/20690.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/20690.pdf,26118.5710279094,7591322.159771
57,20692,24,2420692,B5,G6350,S,20692,24,22533055,1099702,1051,434,903,96,1,5,1,0,29,16,85.9,9.1,0.1,0.5,0.1,0,2.8,1.5,112,10.7,41.9,30,6.9,60.3,25.8,18.8,20.3,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/20692.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/20692.pdf,53097.7702527825,36620370.4873838
58,20693,24,2420693,B5,G6350,S,20693,24,52285009,13685613,1088,424,912,129,4,3,0,0,30,10,83.8,11.9,0.4,0.3,0,0,2.8,0.9,131,12,42.2,33,7.8,71.5,19.6,11,21.8,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/20693.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/20693.pdf,93689.5114000525,85588416.6746515
