OBJECTID_1,ZCTA5CE10,FIRST_STAT,FIRST_GEOI,FIRST_CLAS,FIRST_MTFC,FIRST_FUNC,ZCTA5N,STATE,AREALAND,AREAWATR,POP100,HU100,NHW,NHB,NHAI,NHA,NHNH,NHO,NHT,HISP,PNHW,PNHB,PNHAI,PNHA,PNHNH,PNHO,PNHT,PHISP,POP65_,PCTPOP65_,MEDAGE,VACNS,PVACNS,PHOWN,PWOMORT,PRENT,PLT18SP,REPORT_2_P,REPORT_9_P,Shape_Length,Shape_Area
413,21797,24,2421797,B5,G6350,S,21797,24,112103676,602122,8839,3079,7777,341,19,289,7,11,139,256,88,3.9,0.2,3.3,0.1,0.1,1.6,2.9,1071,12.1,43.7,119,3.9,70,22.6,9.5,10,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21797.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21797.pdf,104504.633027873,188642466.771805
414,21798,24,2421798,B5,G6350,S,21798,24,42827079,152589,2345,896,2138,53,3,19,0,6,36,90,91.2,2.3,0.1,0.8,0,0.3,1.5,3.8,327,13.9,42.7,33,3.7,60.9,24.1,19.9,15.8,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21798.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21798.pdf,65294.5159097194,72354592.9179246
415,21801,24,2421801,B5,G6350,S,21801,24,109651385,3756948,29961,11922,16603,10388,53,801,8,70,560,1478,55.4,34.7,0.2,2.7,0,0.2,1.9,4.9,3908,13,35.2,1109,9.3,43.4,26.5,41,44.4,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21801.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21801.pdf,170816.253205407,180323161.133845
416,21802,24,2421802,B5,G6350,S,21802,24,136027,0,89,0,64,24,0,0,0,0,0,1,71.9,27,0,0,0,0,0,1.1,7,7.9,49.3,0,0,0,0,0,0,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21802.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21802.pdf,1816.69526478848,221488.637427796
417,21804,24,2421804,B5,G6350,S,21804,24,192412299,1398919,38491,16184,25652,8468,59,1097,11,90,901,2213,66.6,22,0.2,2.9,0,0.2,2.3,5.7,5061,13.1,32.9,1161,7.2,38.5,30.5,44.6,44.8,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21804.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21804.pdf,147535.955211427,314976312.295306
418,21810,24,2421810,B5,G6350,S,21810,24,25003387,289819,487,221,334,136,2,0,0,0,9,6,68.6,27.9,0.4,0,0,0,1.8,1.2,86,17.7,45,20,9,53.4,40.2,10.6,33,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21810.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21810.pdf,38015.1677083587,40694717.5614959
419,21811,24,2421811,B5,G6350,S,21811,24,260737100,32252178,22550,14832,18969,2264,58,233,8,18,320,680,84.1,10,0.3,1,0,0.1,1.4,3,6187,27.4,51.1,920,6.2,53.4,33,20.3,35,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21811.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21811.pdf,434540.607056347,428307725.68167
420,21813,24,2421813,B5,G6350,S,21813,24,64314060,18168184,2852,1345,2505,189,3,27,2,2,36,88,87.8,6.6,0.1,0.9,0.1,0.1,1.3,3.1,433,15.2,45.5,100,7.4,57.7,33.2,13.6,20.7,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21813.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21813.pdf,192744.822839853,105756045.899264
421,21814,24,2421814,B5,G6350,S,21814,24,9597311,7762406,380,224,268,81,1,0,0,0,20,10,70.5,21.3,0.3,0,0,0,5.3,2.6,56,14.7,48.2,22,9.8,48.8,39.6,19.3,36.8,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21814.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21814.pdf,28819.2178381788,15623173.4322609
422,21817,24,2421817,B5,G6350,S,21817,24,37916876,10163392,5236,2897,3742,1140,29,32,0,5,89,199,71.5,21.8,0.6,0.6,0,0.1,1.7,3.8,1047,20,43.5,475,16.4,36.7,41.2,37.6,57.5,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21817.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21817.pdf,148477.869327716,62535758.4994483
